state,x,y
Andaman Nicobar,229, -175
Andhra Pradesh,-85, -136
Arunachal Pradesh, 203, 143
Assam, 193, 118
Bihar,62, 94
Chandigarh,-82, 202
Chhattisgarh, -7, 8
Dadra Nagar Haveli,-217, -26
Daman Diu, -219, -2
Delhi,-97, 152
Goa,-179.0, -126.0
Gujarat,-213, 42
Haryana,-128, 168
Himachal Pradesh,-102, 226
Jammu Kashmir,-138, 280
Jharkhand,54, 49
Karnataka,-152, -132
Kerala,-134, -226
Lakshadweep,-218, -209
Madhya Pradesh, -91, 35
Maharashtra,-145, -42
Manipur,223, 82
Meghalaya,156, 93
Mizoram,205, 54
Nagaland,232, 115
Orissa,44, -11
Pondicherry,-55, -193
Punjab,-138, 199
Rajasthan,-173, 115
Sikkim,113, 140
Tamilnadu,-91, -222
Tripura,178, 60
Telangana,-71, -73
Uttarakhand,-61, 179
Uttar Pradesh,-60, 128
West Bengal,104, 42
Nepal, 13, 144
Srilanka,-36, -304

